id,latitude,longitude,property_type,room_type,bedrooms,availability_90,review_scores_rating,suburb,price,has_kitchen,has_Wifi,has_ACHeat,has_parking,has_selfcheckin,is_shared,num_baths,availability_30,availability days in 60 days,accommodates,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,has_washer
21414352,-37.82036591,144.9559784,Private room in rental unit,Private room,,32,4.74,Melbourne,70,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,7,15,1,4.41,4.93,4.81,4.96,4.81,TRUE
21533756,-37.85697,145.1483,Other,Shared room,,0,,Burwood East,21,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,2,0,0,1,,,,,,TRUE
21414968,-37.8092,144.96144,Entire rental unit,Entire home/apt,1,76,4.72,Melbourne,129,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,16,46,2,4.81,4.57,4.7,4.95,4.76,TRUE
21540767,-37.81254,145.0126,Entire rental unit,Entire home/apt,1,6,4.9,Richmond,190,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,6,6,2,4.6,4.9,5,4.9,4.95,TRUE
21415318,-37.9343,145.43852,Other,Private room,,75,4.86,Emerald,113,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,15,45,4,4.86,4.95,5,4.81,4.95,FALSE
21540846,-37.8578,145.10607,Other,Entire home/apt,1,0,4.91,Ashwood,90,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,2,4.94,4.99,5,4.85,4.93,FALSE
21541316,-37.58446,144.62479,Entire home,Entire home/apt,2,56,4.99,Victoria,201,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,15,42,4,5,4.9,4.93,4.94,4.98,TRUE
21416161,-37.82499,144.9944,Entire rental unit,Entire home/apt,1,23,4.81,Richmond,122,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,5,21,2,4.79,4.76,4.84,4.96,4.73,TRUE
21542386,-37.66317,144.99295,Private room in home,Private room,,0,4.5,Lalor,50,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,5,5,5,4.5,4.5,TRUE
21417471,-37.87926,145.23089,Other,Entire home/apt,2,23,4.71,Wantirna South,128,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,3,3,4,4.57,4.89,4.91,4.71,4.74,TRUE
21550709,-37.88277,144.71901,Entire home,Entire home/apt,4,0,0,Point Cook,180,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,0,0,7,,,,,,TRUE
21419083,-37.8695,145.21854,Other,Private room,,0,4.75,Wantirna South,36,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,1,4.89,5,4.79,4.61,4.86,TRUE
21419929,-37.81653,144.95466,Entire rental unit,Entire home/apt,3,66,4.41,Melbourne,249,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,2,21,49,11,4.29,4.44,4.31,4.82,4.3,TRUE
21550815,-38.14854,145.13062,Other,Entire home/apt,2,85,4.96,Frankston,125,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,25,55,2,5,4.99,4.99,4.93,4.95,TRUE
21551924,-38.12472,145.14352,Private room in home,Private room,,0,5,Frankston North,40,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,1,4,5,5,5,5,TRUE
21427507,-37.7694,144.95201,Entire rental unit,Entire home/apt,1,0,4.54,Brunswick,95,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,1,0,0,2,3.92,4.62,4.69,4.85,4.31,TRUE
21555376,-37.85841,145.04283,Private room in rental unit,Private room,,0,4.29,Glen Iris,48,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1,0,0,1,4.07,4.86,4.86,4.64,4.5,TRUE
